AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,CA,CELG,CERN,CMCSA,COST,CSCO,CSX,CTRP,CTSH,DISCA,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FOX,FOXA,GILD,GOOGL,INTC,JD,KHC,LBTYA,LBTYK,LRCX,MAR,MAT,MCHP,MDLZ,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NVDA,NXPI,PAYX,PCAR,PYPL,QCOM,QVCA,ROST,SBUX,SIRI,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,VIAB,VOD,VRTX,WBA,WDC,WFM,XLNX,YHOO,NDX
35.98,96.8,97.8,61.15,95.4,58.18,58,127.04,26.68,165.81,742.12,42.3,161.41,44.21,159.89,286.32,34.57,106.05,62.07,67.34,167.6,30.79,28.37,43.52,58.4,25.42,52.44,96.55,76.95,30.6,76.54,117.88,41.99,121.94,27.5,26.86,84,756.57,34.77,21.8,88.54,31.1,30.21,91.24,71.11,32.78,54.78,45.69,56.515,14,39.2,47.13,41.9,91,26.44,56.1984,85.23,60.74,56.17,37.77,60.95,26.74,61.13,58.579,4.28,31.35,65.36,20.37,44.95,70.05,91.41,227.65,70.73,45.23,31.1701,95.27,81.365,52.16,33.95,48.61,38.01,4665.054
35.931,96.89,97.8,61.61,95.4115,58.19,58.12,126.06,26.73,165.9101,741.92,42.44,161.83,44.09,160.13,286.81,34.58,105.545,61.93,67.3,167.82,30.84,28.4625,43.52,58.33,25.41,52.11,96.82,77.07,30.74,76.44,117.99,41.9,121.745,27.48,26.87,83.97,756.16,34.92,21.85,88.72,31.225,30.43,91.33,70.85,32.79,54.89,45.73,56.72,14,39.37,47.15,41.81,91.16,26.45,56.415,86.175,60.935,56.85,37.74,60.92,26.72,61.43,58.48,4.27,31.01,65.25,20.41,44.975,70.23,91.05,227.0967,70.69,45.01,31.19,94.17,81.54,52.15,34.1,48.74,38.14,4665.054
35.9044,96.95,97.57,61.98,95.51,58.20333333,57.95,126.51,26.712,166.18,739.6,42.46,162.5,43.86,160,286.13,34.59,106.5787,61.91666667,67.23,167.96,30.88,28.39,43.54,58.34,25.38,52.10666667,96.89,77.25,30.8,76.09,118.63,41.735,121.452,27.41,26.82,84,755.62,34.9192,21.77,88.79,31.01,30.17,91.37,70.78,32.83,55.14,45.8,56.7,14.0056,39.38,47.13,41.865,91.36,26.39,56.49,85.6801,61,57.5,37.7117,61.03,26.66,61.55,58.51,4.285,31.195,65.41,20.39,44.81,70.0925,91.18,226.63,71.3,45.015,31.21,94.749,81.53,52.27,34.01,48.99,38.15,4665.826
35.89,96.97,97.55,62.09,95.52,58.21666667,57.96,126.28,26.74,166.148,739.55,42.52,162.68,43.8,160.12,286.8,34.61,106.35,61.90333333,67.38,167.85,30.89,28.39,43.55,58.54,25.37,52.10333333,96.76,76.96,30.86,75.65,118.57,41.71,121.45,27.42,26.87,83.34,756.3599,34.951,21.81,88.645,30.9,30.1,91.42,70.875,32.86,55.31,45.79,56.69,14.0573,39.42,47.115,41.92,92.28,26.3955,56.5335,85.665,61.008,57.75,37.825,61.13,26.73,61.5,58.47,4.28,31.14,65.24,20.37,44.69,69.955,91.28,227.53,71.31,45.02,31.21,94.31,81.71,52.3,33.96,48.95,38.195,4667.081
36.008,96.96,97.73,61.89,95.53,58.23,58.21,126.585,26.72,165.99,738.72,42.61,162.75,43.92,160.86,286.42,34.62,106,61.89,67.3,168.44,30.875,28.39,43.63,58.56,25.32,52.1,96.76,77.03,30.89,76.5,118.42,41.82,121.38,27.4,26.83,82.48,755.67,34.95,21.8593,88.75,30.91,30.12,91.45,71.1299,32.86,55.28,45.765,56.69,14.0701,39.54,47.01,41.92,91.86,26.401,56.52,85.87,61.11,57.165,37.7972,61.16,26.68,61.42,58.49,4.215,31.05,65.33,20.36,44.61,69.7401,91.16,227.125,71.06,45.05,31.18,94.155,81.72,52.3,34.17,48.89,38.32,4664.491
36.1,97.045,97.88,62.09,95.75,58.225,58.22,126.04,26.735,166.29,738.5,42.6,162.9,43.97,161.25,286.67,34.64,105.79,61.895,67.29,168.46,30.9766,28.41,43.675,58.7,25.33,52.115,96.83,77.03,30.89,76.77,118.84,41.85,121.345,27.43,26.85,82.44,755.31,34.98,21.82,88.7405,30.96,30.16,91.61,70.91,32.9,55.31,45.75,56.705,14.08,39.55,47.069,41.98,91.68,26.41,56.57,86.27,61.07,57.07,37.87,61.445,26.65,61.47,58.4,4.205,31.2,65.24,20.38,44.44,69.9,91.305,227.259,71.0175,45.03,31.19,94.2,81.62,52.41,34.165,48.87,38.44,4666.484
36.0922,97.095,97.93,62.07,95.75,58.22,58.35,126.4,26.7,165.93,738.49,42.46,163.08,44.1,161.01,286.411,34.64,105.92,61.9,67.34,168.43,30.96,28.38,43.8,58.66,25.38,52.13,97.03,76.99,30.975,76.5,118.67,41.8499,121.38,27.45,26.8562,82.16,753.98,34.99,21.88,88.545,31.05,30.21,91.62,70.99,32.9,55.39,45.71,56.78,14.067,39.5,46.94,42.09,91.9016,26.38,56.51,86.188,61.11,56.96,37.93,61.24,26.67,61.43,58.37,4.21,31.2615,65.28,20.36,44.45,69.82,91.58,227.25,70.785,45.05,31.21,94.18,81.66,52.38,34.16,48.91,38.5,4666.026
36.05,97.145,97.94,62.04,95.73,58.25,58.34,126.41,26.715,166.315,739.68,42.52,163.08,44.06,161.2,287.5,34.65,106.43,61.86,67.41,168.471,30.98,28.4,43.879,58.69,25.38,52.24,97.0055,77.04,31.07,76.585,118.86,41.97,121.61,27.48,26.9,82.41,755.712,35,21.92,88.63,31.12,30.32,91.201,71.22,32.93,55.42,45.7,56.78,14.0565,39.47,47.005,42.06,92.565,26.44,56.5,86.14,61.08,56.63,37.98,61.23,26.7,61.5,58.29,4.255,31.265,65.29,20.35,44.5,70.15,91.66,227.08,70.81,45.14,31.21,94.38,81.55,52.46,34.21,48.9488,38.48,4669.176
36.05,97.23,98,61.99,95.69,58.25,58.37,126.96,26.7,166.169,739.2973,42.51,163.29,44.06,161.28,287.448,34.6,106.43,61.93,67.43,168.55,30.9664,28.43,43.84,58.71,25.4,52.315,96.9975,77.11,31.12,76.3475,118.65,41.97,121.75,27.47,26.885,82.54,755.57,34.96,21.9596,88.62,31.15,30.305,91.05,71.2,32.92,55.35,45.701,56.835,14.07,39.38,47.15,42.09,92.825,26.45,56.57,85.81,61.1,56.81,38.04,61.1,26.71,61.51,58.365,4.25,31.26,65.25,20.35,44.49,70.25,91.64,227.125,70.47,45.16,31.22,94.62,81.51,52.43,34.2,48.92,38.475,4670.209
36.12,97.3,98.015,61.77,95.79,58.295,58.3677,126.74,26.64,166.25,739.125,42.47,162.845,44.02,161.505,287.7866,34.6,106.44,61.93,67.44,168.44,30.98,28.43,43.8,58.72,25.38,52.355,96.92,77.16,31.14,76.43,118.48,41.95,121.77,27.48,26.91,82.5049,755.615,34.88,21.97,88.545,31.08,30.29,90.77,71.18,32.94,55.15,45.71,56.93,14.03,39.33,47.47,41.99,92.746,26.48,56.44,85.84,61.085,56.36,38.065,61.06,26.67,61.55,58.5,4.255,31.27,65.1,20.36,44.51,70.11,91.61,227.0334,70.05,45.13,31.24,94.67,81.4801,52.5,34.23,48.82,38.505,4671.427
